"Grounding Query","Intent","Topic","Citations","Citation Share"
"paginacja stron","Learn and Solve","E-commerce","74","16,09%"
"search console","Informational","Search Engines & SEO","30","0,22%"
"sprawdzenie widoczności marki ChatGPT","Learn and Solve","Business","30","30,61%"
"google search hconsole","Informational","Search Engines & SEO","30","15,71%"
"sprawdzenie widoczności marki w ChatGPT","Learn and Solve","Business","30","15,23%"
"gsc google search console","Informational","Search Engines & SEO","28","6,22%"
"rag co to jest","Informational","E-commerce","27","9,15%"
"usługa seo","Informational","Search Engines & SEO","20","4,60%"
"jak sprawdzić czy marka pojawia się w odpowiedziach AI","Learn and Solve","AI Tools & Platforms","16","17,78%"
"Insightland AI Search oferta porównanie Grupa ICEA","Comparison","AI Tools & Platforms","5","20,00%"
"co to jest paginacja","Informational","E-commerce","5","4,72%"
"hreflang","Informational","E-commerce","4","8,89%"
"Insightland Grupa ICEA AI Search oferta porównanie","Comparison","Business","3","23,08%"
"sprawdzanie obecności marki w odpowiedziach AI","Learn and Solve","AI Tools & Platforms","3","20,00%"
